Q,A,I
"Em ở quê, chưa được học viết chương trình, em có thể học được ngành KHMT không?","
Em hoàn toàn có thể theo học KHMT, vì trong quá trình học em sẽ được thầy/cô cung cấp kiến thức cũng như tư vấn về chương trình học.
",11
Trường có giới thiệu em miễn nghĩa vụ quân sự không?,"
Điều kiện để được cấp Giấy xác nhận hoãn nghĩa vụ quân sự là em có đăng ký môn học trong học kỳ, nghĩa là chừng nào em còn đang thực học tại Trường em sẽ được Trường hỗ trợ tối đa về việc này.
",12
Trường có cho em vay tiền đóng tiền học phí không?,"
Trường có chính sách hỗ trợ về việc giảm/ miễn giảm tiền học phí. Em có thể  liên hệ Phòng Công tác Chính trị- Sinh viên để được giúp đỡ. 
Ngoài ra, Trường còn có quỹ học bổng BKA, tiêu chí cho vay rất rộng mở, dễ tiếp cận: SV chỉ cần cam kết học tập ra Trường.
",7
"Sau khi em ra Trường, em có được học tiếp lên cao nữa hay không?","
Bắt đầu từ năm 2019, sinh viên theo học chương trình đào tạo đại học chính quy  ngành KHMT & KTMT đều có thể đăng ký học liên thông đại học- cao học ngành Khoa học Máy tính ngay từ năm 3. Việc học liên thông này sẽ giúp em rút ngắn thời gian đào tạo thạc sĩ cũng như giảm chi phí đào tạo.
",13
"Em học không giỏi lắm, em nên học ngành nào? (KHMT, KTMT)","
Em có thể học ngành nào cũng được, miễn em yêu thích và đủ tiêu chuẩn theo học chương trình.
",6
Học phí có đắt không?,"
Tham khảo quy định về mức thu học phí năm học 2022-2023: https://hcmut.edu.vn/dao-tao/hoc-phi
",7
Em có nghe chương trình tiên tiến. Vậy chương trình tiên tiến là gì?,"
Tại Khoa KH & KTMT, chỉ đào tạo chương trình tiêu chuẩn và chương trình giảng dạy bằng tiếng Anh, chương trình định hướng Nhật Bản, không đào tạo chương trình tiên tiến.
",14
"Em nghe bạn em nói, Trường ĐHBK có cơ sở ở Thủ Đức. Nếu em đăng ký học ngành KHMT, em học ở cơ sở nào?","
Nếu em học chương trình chính quy tiêu chuẩn thì em sẽ học ở CS2, Dĩ An, Bình Dương. Nếu em học chương trình trình giảng dạy bằng tiếng Anh, chương trình định hướng Nhật Bản thì em sẽ học ở CS1, Lý Thường Kiệt, Quận 10.
",15
"Em thích làm web, em nên học ngành nào?","
Em nên học ngành KHMT.
",6
"Học ngành KHMT, KTMT mất bao nhiêu năm?","
4 năm (+2 năm), bằng cử nhân, áp dụng từ 2019.
",14
"Em nghe bạn em nói học ngành KHMT khó lắm, mà em học không giỏi môn vật lý, em học có được không?","
Em không giỏi vậy lý vẫn có thể theo học ngành KHMT, vì ngành không chuyên sâu về các môn cơ bản, CTĐT tập trung cung cấp kiến thức ngành, giúp em hiểu và có thể vận dụng kiến thức ngành trong công việc thực tiễn.
",11
"Ở Trường em dưới quê, em chỉ có học word, excel, window. Vậy, em có học được ngành KTMT không?","
Em có thể học được ngành KTMT vì CTĐT tập trung cung cấp kiến thức ngành, giúp em hiểu và có thể vận dụng kiến thức ngành trong công việc thực tiễn.
",11
"Ngành KHMT và KTMT, ngành học nào dễ hơn.","
Mỗi ngành đều có thuận lợi và khó khăn nhất định, quan trọng là sự yêu thích và chịu khó học hỏi, tìm tòi kiến thức từ ngành học.
",4
"Sau khi học 1 thời gian, em muốn chuyển ngành khác hoặc chuyển hình thức đào tạo thì có được phép không? Vd từ ngành KHMT sang ngành KTMT, vd từ chương trình chất lượng cao sang chương trình chính quy đại trà?","
Theo Quyết định 2931/ ĐHBK ngày 10/9/2021, Quy định chung về học vụ và đào tạo, áp dụng từ học kỳ 211 thì:
25.3 Chuyển ngành
Người học được xem xét chuyển sang học một ngành đào tạo khác khi có đù các điều kiện sau:
a)Không đang là sinh viên trình độ năm thứ nhất hoặc năm cuối khóa đối với trình độ đại học, không thuộc diện bị xem xét buộc thôi học và còn dù thời gian học tập theo quy định;
b)Đạt diều kiện trúng tuyển của ngành đào tạo trong cùng khóa tuyển sinh;
c)Ngành chuyển đến có đủ các điều kiện bảo đảm chất lượng, chưa vượt quá năng lực đào tạo của khoá tuyển sinh;
d)Được sự dồng ý của các Trưởng Khoa quản lý ngành chuyển đi và ngành chuyển đến.

25.4 Chuyển chương trình
Trường hợp chuyển từ chương trình Kỹ sư Việt-Pháp dến chương trình đại trà, người học sẽ chuyển về ngành ban đầu khi trúng tuyển vào trường trước khi trúng tuyển vào chương trình Kỹ sư Việt-Pháp, hoặc được xem xét như trường hợp chuyển ngành nếu trúng tuyển trực tiếp vào chương trình Kỹ sư Việt-Pháp.
Trường họp chuyền từ chương trình dại trà đến chương trình Kỹ sư Việt-Pháp, thực hiện theo dề án tuyển sinh của chương trình Kỹ sư Việt-Pháp hoặc theo quy định dành riêng cho chương trình này.
Trường hợp chuyển từ chương trình Chất lượng cao, Tiến tiến đến chương trình đại trà, áp dụng quy dịnh về chuyển ngành.
Trường hợp chuyển từ chương trình đại trà dến chương trinh Chất lượng cao, Tiến tiến, thực hiện theo đồ án tuyển sinh bổ sung vào chương trình Chất lượng cao, Tiên tiến (nếu có). Trong trường họp trúng tuyển bổ sung, chi các học phần tương ứng với các học phần tổ chức học bàng tiếng Việt cùa chương trình Chất lượng cao, Tiên tiến mới được xem xét chuyển dổi kết quả học tập.
",5
Khoa KH & KT Máy tính có đào tạo song ngành hay không?,"
Theo Quyết định 2933/ ĐHBK ngày 10/9/2021, Quy định học vụ và đào tạo Đại học, áp dụng từ học kỳ 211 thì:
Điều 12. Dào tạo song ngành 12.1 Quy định chung
Trong thời gian dào tạo ngành thứ nhất, sinh viên được đăng ký học và tích lũy các học phần của ngành thứ nhất và của ngành thứ hai.
Ngoại trừ các chưcmg trình dào tạo song ngàrih tuyển sinh ngay từ đầu, sinh viên được dăng ký học ngành thứ hai sớm nhất khi dã được xốp trình độ năm thứ hai của ngành thứ nhất và muộn nhất là 02 năm trước thời điểm tốt nghiệp ngành thứ hai. Tại thời điểm đăng ký, sinh viên phải đáp ứng các điều kiện sau:
a)	Điểm trung bình tích lũy xép loại khá trở lên và đáp ứng ngưỡng bảo đảm chất lượng của ngành thứ hai trong năm tuyển sinh, hoặc diểm trung bình tích lũy xếp loại trung bình và dáp ứng điều kiện trúng tuyển của ngành thứ hai trong năm tuyển sinh;
b)	Được sự đồng ý của Trường Khoa quản lý ngành thứ hai căn cứ trên các tiêu chí đánh giá về năng lực đào tạo của ngành thứ hai.
",14
Khoa KH & KT Máy tính có chương trình liên thông hay không?,"
Chương trình đào tạo liên thông Đại học – Thạc sĩ được triển khai từ năm học 2019-2020 cho phép sinh viên có học lực khá giỏi rút ngắn thời gian học tập (lợi ít nhất 1 năm) so với tổng thời gian đào tạo trình độ đại học và trình độ thạc sĩ của ngành tương ứng. Sinh viên tham dự chương trình có thể đăng ký học và tích lũy các môn học trình độ thạc sĩ từ năm 3 trong quá trình học đại học. Các môn học tích lũy này được xét công nhận cho các môn ở trình độ Đại học (lên đến 15 tín chỉ).
Điều kiện tham dự chương trình liên thông:
+ Số tín chỉ tích lũy tại thời điểm xét: > 60
+ Điểm trung bình tích lũy tại thời điểm xét: > 7.0
+ Đăng ký ngành thạc sĩ phù hợp với ngành đại học.
Chi tiết chương trình: http://www.pgs.hcmut.edu.vn/vi/lien-thong-dh-ths/2020-07-31-07-54-16/ke-hoach-dang-ky
",14
Khoa KH & KT Máy tính có chương trình dành cho người vừa đi làm vừa đi học hay không? Thí sinh cần tham gia thi tuyển hay chỉ cần xét tuyển?,"
- Khoa KH & KT Máy tính hiện có 2 chương trình dành cho người vừa đi làm vừa đi học, thời gian học được tổ chức ngoài giờ. Đối tượng tham gia xét tuyển: tốt nghiệp THPT.
- Chương trình Vừa làm Vừa học (VLVH) ngành Khoa học Máy tính với 10 học kỳ, chương trình Đào tạo Từ xa (ĐTTX) ngành Công nghệ Thông tin với 08 học kỳ. Trong cả 2 chương trình này, học viên sẽ được xét miễn giảm các môn đã học nếu được Hội đồng ngành đồng ý.
- Cả 2 chương trình đều hướng tới đào tạo người học thông qua hình thức đào tạo ngoài giờ, tối ưu thời gian của người học. Các giảng viên giảng dạy trong chương trình là các thầy/cô giàu kinh nghiệm và từ chương trình đào tạo chính quy qua dạy nên sẽ đảm bảo về mặt truyền đạt kiến thức, không chênh lệch so với các hệ đào tạo chính quy. Ngoài ra, việc tổ chức/kiểm tra/ thi của hệ này chỉ tổ chức ngoài giờ, cuối tuần, giúp người học có thể dễ dàng sắp xếp công việc để tham gia việc học.
",14
Ngành Kỹ thuật Máy tính là ngành học về vấn đề gì?,"
Theo từ điển Cambridge thì “kỹ thuật” (engineering) có nghĩa là sự nghiên cứu để ứng dụng các nguyên lý khoa học để thiết kế và xây dựng các máy móc, cấu trúc và các hệ thống khác nhau; “máy tính” (computer) là một máy điện tử sử dụng cho mục đích lưu trữ, tổ chức và tìm kiếm các từ ngữ, các con số và các hình ảnh để tính toán và điều khiển các máy khác. Như vậy, Kỹ thuật Máy tính theo địnhh nghĩa là ngành sẽ ứng dụng các nguyên lý khoa học để thiết kế và hiện thực các hệ thống máy tính khác nhau nhằm nhiều mục đích.
Tại Khoa KH&KTMT, ngành Kỹ thuật Máy tính hướng đến mục tiêu đào tạo sinh viên một cách toàn diện để có thể thiết kế và hiện thực được các hệ thống tính toán hoàn chỉnh phục vụ cho các loại ứng dụng khác nhau từ các ứng dụng sử dụng trí tuệ nhân tạo cho đến các ứng dụng trên nền tảng IoT hay các ứng dụng liên quan đến chuỗi khối (blockchain). Cụ thể, sinh viên có thể phát triển được các hệ thống sau khi hoàn tất chương trình đào tạo KTMT:
- Hướng trí tuệ nhân tạo: nhận dạng đối tượng (gương mặt, biển số xe, làn đường,…); nhận dạng phân tích âm thanh (giọng nói, nhạc,…); phân tích các hành vi bất thường trên môi trường mạng tốc độ cao; điều khiển đèn giao thông bằng học tăng cường (reinforcement learning).
- Hướng hệ thống nhúng: các hệ thống điều khiển tự động như nhà thông minh, nông nghiệp thông minh (tưới tiêu tự động); hệ thống quản lý giao nhận hàng tự động (smart box); các hệ thống điều khiển tự động máy móc công nghiệp (máy CNC, máy sấy trái cây,…).
- Hướng Internet vạn vật (IoT): các hệ thống quan trắc môi trường, chất lượng nguồn nước; các hệ thống giám sát xe, giám sát kho bãi; các hệ thống phục vụ nông nghiệp công nghệ cao; các hệ thống và các ứng dụng dựa trên các thiết bị di động.
- Hướng tính toán hiệu năng cao – điện toán đám mây: các hệ thống xử lý song song, tính toán trên nền tảng đa nhân; các hệ thống phòng chống tấn công mạng tốc độ cao sử dụng các thiết bị phần cứng chuyên dụng; các hệ thống phân tích chuỗi dữ liệu sinh học; các hệ thống điện toán đám mây như Microsoft Azure, Google Cloud, Amazon Cloud,…
- Hướng mạng máy tính và an ninh mạng: các hệ thống dựa trên chuỗi khối; các hệ thống bảo mật mạng ở nhiều mức khác nhau; các hệ thống mật mã; các ứng dụng web và các hệ thống mạng.
",14
Sự khác biệt giữa ngành Kỹ thuật Máy tính và ngành Khoa học Máy tính ở trường Đại học Bách khoa – ĐHQG TPHCM là gì?,"
Như đã trình bày ở trên, “Kỹ thuật Máy tính” nói chung là hướng đến thiết kế và hiện thực toàn bộ hệ thống máy tính sử dụng các nguyên lý khoa học. Một hệ thống máy tính hoàn chỉnh sẽ bao gồm 3 lớp cơ bản là: phần cứng (các board mạch từ đơn giản đến phức tạp như Arduino hay Raspberry; các nền tảng tính toán như GPU hay các bộ xử lý đa nhân); phần mềm hệ thống (hệ điều hành, các trình biên dịch, các dịch vụ điều khiển thiết bị); và phần mềm ứng dụng, trí tuệ nhân tạo (ví dụ TensorFlow, Apache Spark).
- Ngành KTMT ở trường Đại học Bách khoa – ĐHQG TPHCM giảng dạy sinh viên ở cả ba lớp nêu trên nhưng tập trung nhiều vào phần mềm hệ thống và phần cứng. Từ đó, sinh viên có thể lập trình được và phát triển được các ứng dụng không chỉ thực thi được trên máy tính cá nhân (máy tính để bàn hay máy tính xách tay) mà còn thực thi được trên các board mạch hệ thống nhúng và các hệ thống tính toán chuyên biệt như hệ thống đa nhân, GPU hay các chip phần cứng lập trình được. Trên cơ sở đó, sinh viên tốt nghiệp ngành KTMT sẽ có thể tham gia được vào các dự án thuộc các hướng như đã nêu ở Câu 1.
- Ngược lại: ngành KHMT ở trường Đại học Bách khoa – ĐHQG TPHCM tập trung nhiều vào phần mềm ứng dụng và một phần mức phần mềm hệ thống. Sinh viên ngành KHMT có thể làm các công việc sau sau khi tốt nghiệp: Thiết kế và xây dựng các phầm mềm máy tính cho các ngân hàng, các tổ chức tài chính, hành chính và thương mại,…; Thiết kế và xây dựng các ứng dụng cho các thiết bị di động, ứng dụng thương mại điện tử trên nền Web, các trò chơi trên máy tính và thiết bị di động,…; Quản trị và xây dựng các giải pháp đảm bảo an toàn cho các hệ thống máy tính và hệ thống mạng máy tính.
",4
Sự khác biệt giữa Kỹ thuật Máy tính và Công nghệ thông tin là gì?,"
Ngành Kỹ thuật Máy tính ở trường Đại học Bách khoa – ĐHQG TPHCM đã được trình bày ở Câu 1 và Câu 2. Ngành Công nghệ thông tin ở các trường Đại học khác thường hướng đến việc giảng dạy sinh viên phát triển phần mềm bằng một ngôn ngữ cụ thể hoặc sử dụng những phần mềm sẵn có, hơn là hướng sinh viên đến toàn bộ hệ thống tính toán hoàn chỉnh.
",4
Có các chuyên ngành/hướng nào trong ngành Kỹ thuật Máy tính?,"
Có 3 chuyên ngành cụ thể ở ngành Kỹ thuật Máy tính ở trường Đại học Bách khoa – ĐHQG TPHCM:
- Chuyên ngành Internet vạn vật và An ninh mạng: nếu theo đuổi chuyên ngành này, sinh viên sẽ đào sâu các kiến thức và kỹ năng liên quan đến các hướng Internet vạn vật; hướng mạng máy tính và an ninh mạng (chi tiết các hướng này đã nêu ở Câu 1)
- Chuyên ngành Các hệ thống tính toán hiện đại: nếu theo đuổi chuyên ngành này, sinh viên sẽ đào sâu các kiến thức và kỹ năng liên quan đến các hướng trí tuệ nhân tạo, hướng hệ thống nhúng và hướng tính toán hiệu năng cao (chi tiết các hướng này đã nêu ở Câu 1)
- Chuyên ngành Kỹ thuật Máy tính (trùng tên với ngành): sinh viên không theo một trong hai chuyên ngành cụ thể nêu trên sẽ được công nhận thuộc chuyên ngành này. Khi đó, sinh viên có thể học một các tổng quan tất cả các hướng đã nêu.
",14
Có cần phải có kiến thức/kỹ năng gì để học được ngành KTMT?,"
Sinh viên không cần phải có kiến thức hay kỹ năng gì cụ thể, tất cả sẽ được hướng dẫn và giảng dạy từ đầu. Tuy nhiên, sinh viên cần có niềm đam mê và hứng thú với ngành hay cụ thể hơn là với các hướng học tập nghiên cứu đã nêu trên.
",11
Có thể học về trí tuệ nhân tạo trong ngành KTMT không?,"
Hoàn toàn có thể, sinh viên có thể phát triển được các hệ thống dựa trên trí tuệ nhân tạo như: nhận dạng đối tượng (gương mặt, biển số xe, làn đường,…); nhận dạng phân tích âm thanh (giọng nói, nhạc,…); phân tích các hành vi bất thường trên môi trường mạng tốc độ cao; phát triển các hệ thống dựa trên AI cho các ngành khác (hệ điều khiển tín hiệu giao, phân tích hệ gen của virus, nhận dang bệnh cây trồng).
",14
Có thể học về an ninh mạng trong ngành KTMT không?,"
Hoàn toàn có thể, sinh viên khi tốt nghiệp ngành KTMT có khả năng phân tích đánh giá mức độ bảo mật của một hệ thống tính toán, một website; có khả năng thiết kế và hiện thực các hệ thống phòng chống tấn công mạng ở cả mức phần mềm (tốc độ thấp) và mức phần cứng bằng các thiết bị chuyên dụng (tốc độ cao). Ngoài ra, sinh viên còn được cung cấp những kiến thức hàn lâm cơ bản về mật mã học (mã khối, mã đối xứng, mã không đối xứng, chữ ký điện tử, blockchain).
",14
Có thể học về IoT trong ngành KTMT không?,"
Một trong những hướng chủ đạo của ngành Kỹ thuật Máy tính là phát triển các hệ thống dựa trên nền tảng vạn vật kết nối. Đây là một trong những thế mạnh của thầy và trò ngành Kỹ thuật Máy tính ở trường Đại học Bách khoa – ĐHQG TPHCM.
",14
Có thể học về hệ thống nhúng trong ngành KTMT không?,"
Hoàn toàn có thể, sinh viên có thể phát triển được các hệ thống nhúng từ đơn giản đến phức tạp phục vụ cho nhiều mục đích khác nhau như giám sát, điều khiển thiết bị từ xa, điều khiển máy móc tự động.
",14
Có thể học về tính toán hiệu năng cao – điện toán đám mây trong ngành KTMT không?,"
Đây cũng là một thế mạnh khác của thầy và trò ngành KTMT ở trường Đại học Bách khoa – ĐHQG TPHCM. Taị đây, thầy và trò của ngành KTMT đang có một trong những hệ thống tính toán hiệu năng cao nhất và hiện đại nhất Việt Nam. Bên cạnh đó, thầy trò ngành Kỹ thuật Máy tính cũng đang sở hữu những hệ thống tính toán chuyên dụng như GPU hay các chip phần cứng lập trình được có thể nói là hiện đại nhất ở khu vự phía nam.
",14
Có thể học về thiết kế chip/thiết kế vi mạch trong ngành KTMT không?,"
Hoàn toàn có thể, hiện tại thầy trò ngành Kỹ thuật Máy tính ở trường Đại học Bách khoa – ĐHQG TPHCM có liên kết rất chặt chẽ với những công ty thiết kế vi mạch hàng đầu khu vực TPHCM nói riêng và miền nam nói chung như Renesas, Marvell, AMCC,… Chương trình đào tạo có hẳng một môn liên quan đến thiết kế vi mạch được thiết kế và giảng dạy trực tiếp bởi chuyên gia hàng đầu từ Renesas Việt Nam.
",14
Các thành tích nổi bật của SV ngành KTMT trong những năm qua là gì?,"
Ngoài 100% sinh viên tốt nghiệp có việc làm ở các công ty lớn hoặc đi du học, các sinh viên ngành KTMT trong 05 năm gần đây (2017-2022) còn có thành tích học thuật nghiên cứu khoa học rất xuất sắc. Cụ thể như sau:
- 03 bài báo khoa học tạp chí uy tín hàng đầu thế giới (ISI và Scopus) (Sinh viên là tác giả chính)
- 10 bài báo khoa học các hội nghị uy tín thế giới (Sinh viên là tác giả chính)
- Giải 03 cuộc đua số toàn quốc do FPT tổ chức
- Giải nhất cuộc thi lập trình Markethon với sản phẩm Máy check-in IoTs
- Các giải thưởng SV NCKH các cấp
",16
Nếu cần thêm thông tin hoặc cần tư vấn về ngành Kỹ thuật Máy tính thì liên hệ ở đâu?,"
Nếu cần tư vấn thêm các vấn đề liên quan đến ngành Kỹ thuật Máy tính xin mời xem trang tiếp theo
- Trang Facebook chính thức của ngành Kỹ thuật Máy tính trường Đại học Bách khoa – ĐHQG TPHCM: https://www.facebook.com/hcmut.ce/
- Website chính thức của khoa Khoa học và Kỹ thuật Máy tính – trường Đại học Bách khoa – ĐHQG TPHCM: https://cse.hcmut.edu.vn/dai-hoc-ky-thuat-may-tinh/
",17
Hồ sơ xét tuyển theo phương thức 2 bị sai nơi sinh thì phải làm sao?,"
Chào bạn, bạn vui lòng gửi mail về địa chỉ mail admission@hcmut.edu.vn, cung cấp thông tin (như mã hồ sơ, họ tên, số CMND/CCCD) và trình bày tình trạng của bạn để được hỗ trợ bạn nhé.	
",3
Điểm xét tuyển theo phương thức 2 Ưu tiên xét tuyển có được cộng thêm điểm thưởng khi có các thành tích khác không ạ?,"
Chào bạn, điểm xét tuyển của phương thức 2 không có điểm thưởng của các thành tích khác bạn nhé. Điểm xét tuyển phương thức 2 là xét theo tổng các điểm trung bình các môn (thuộc tổ hợp môn xét tuyển) của các năm lớp 10, 11, 12; theo bài luận của thí sinh và thư giới thiệu của giáo viên.
",1
Em thi tổ hợp các môn Khoa học xã hội thì có xét tuyển được vào ngành Công nghệ Thông tin không ạ?,"
Chào bạn, Trường Đại học Bách khoa có đào tạo ngành Kỹ thuật máy tính và Khoa học máy tính với 2 tổ hợp xét tuyển là A00 (Toán, Lý, Hóa) và A01 (Toán, Lý, Anh). Vậy nên khi thi tổ hợp môn Khoa học xã hội thì không đủ điều kiện để xét tuyển vào ngành này nhé bạn.
",20
Hồ sơ xét tuyển theo phương thức 2 của em bị sai thông tin khu vực ưu tiên thì có cần nộp lại bộ hồ sơ khác không ạ?,"
Chào bạn, bạn không cần gửi lại bộ hồ sơ khác nha bạn. Bạn vui lòng gửi mail về địa chỉ admission@hcmut.edu.vn và trình bày tình trạng kèm theo mã hồ sơ của bạn để được hỗ trợ bạn nhé.
",3
"Dạ cho em hỏi là nếu trong học kỳ, em đăng kí 28 chỉ mà chỉ đạt có 25 chỉ, em dự định sẽ đăng ký môn khác 3 chỉ trong HK hè để bù vào vậy thì có tính là em được phép đăng ký môn học của năm tiếp theo không ạ","
Chào bạn, về vấn đề này bạn vui lòng gửi câu hỏi lên trang hỗ trợ trực tuyến của phòng đào tạo BKSI để được hỗ trợ bạn nhé
",18
Trong quá trình nhập thông tin em có ghi sai thông tin môn tiếng anh lớp 10 từ 8.0 thành 8.4 mong trường xem xét và sửa lại giúp em. Em cảm ơn,"
Chào bạn, về vấn đề này, bạn vui lòng gửi mail về địa chỉ admission@hcmut.edu.vn và trình bày tình trạng kèm theo mã hồ sơ của bạn để được hỗ trợ bạn nhé.
",3
Trường có làm việc vào thứ 7 không ạ?,"
Chào bạn, trường chỉ làm việc trong giờ hành chính từ thứ 2 đến thứ 6 thôi bạn nhé.
",17
