text,label
"Dạ em là thí sinh chuẩn bị thi đại học năm nay, em có nguyện vọng vào Bách Khoa nhưng lúc tạo tài khoản trên mybk em bị quên mật khẩu thì giờ em phải làm sao đây ạ",17
Dạ cho em hỏi trọng số các tiêu chí điểm trong phương thức 5 là bao nhiêu ạ?,1
,3
Cách tính điểm theo phương thức xét tuyển tổ hợp như thế nào,1
Không thi đgnl (đánh giá năng lực) có được không,1
Ngành Khoa học máy tính (KHMT) có phân ngành không,6
Chỉ tiêu năm nay của trường đối với các ngành là bao nhiêu,21
ngành Trí tuệ nhân tạo (AI) trường mình đào tạo thế nào,6
Chương trình đào tạo chất lượng cao (clc) có những gì khác với chương trình đại trà,14
Trường mình có những cuộc thi về học thuật nào,21
Khoa nào thì được đào tạo ở cs1 (cơ sở 1),15
Nghe nói sinh viên trường mình rớt môn nhiều lắm điều đó có đúng không,21
Giờ giấc học ở trường mình như thế nào,21
Học ở trường có thực sự khó và áp lực như mọi người đồn,21
Bài tập lớn (BTL) trường mình là gì mà sao em thấy nhiều người đề cập về nó quá vậy,21
Trường mình khi tham gia học thì phải hoàn thành những chứng chỉ bắt buộc nào không,11
Bằng điểm ielts và toeic của em là bao nhiêu để qua anh văn của trường,11
Phương pháp dạy học của trường mình có gì nổi trội mà khiến nhiều sinh viên tốt muốn đăng ký (đk) vào trường đến vậy,16
Học tốt có được học bổng không và ngưỡng điểm bao nhiêu để có học bổng,10
"Nếu như học một thời gian trong trường mà mình thấy mình không phù hợp liệu rằng mình có được chuyển qua các ngành khác không, và nếu được thì yêu cầu là gì ",5
Khi tham gia học ở trường thì có những quy định gì về đồng phục và thiết bị học tập không,21
Trước khi vào nhập học thì sinh viên cần hoàn tất những thủ tục gì hay chuẩn bị những gì.,21
